FCFS 
ID Tempo_de_Chegada Tempo_de_finalizacao Tempo_de_Processamento Tempo_de_Espera Tempo_de_Turnaround 
8 0 5697 670 686 5697 
5 0 7850 776 464 7850 
3 0 11174 1471 322 11174 
4 0 11217 1313 384 11217 
7 0 11644 1093 618 11644 
2 0 12183 1136 273 12183 
1 0 14256 1972 148 14256 
10 0 18410 1414 1002 12712 
14 0 22312 1093 1084 10667 
15 0 23064 1153 1032 10880 
6 0 23800 2955 540 23800 
0 0 25859 2753 0 25859 
19 70 25897 200 1484 2832 
18 42 26707 508 1488 4394 
9 0 26913 2675 806 26913 
21 121 32293 656 1054 6433 
23 290 34819 888 1163 8111 
12 0 35684 3104 1009 24509 
22 203 37183 1305 1162 11285 
28 580 38398 216 998 1214 
16 0 39572 2238 1478 25315 
27 521 40840 565 1499 5155 
11 0 40854 3754 1228 33003 
32 838 41985 71 1059 1130 
24 386 42756 1178 1182 15842 
29 650 42955 139 1174 4556 
13 0 44864 3725 1083 33646 
20 79 44923 2207 1209 21122 
35 903 45526 302 1236 2570 
26 501 45943 1079 1468 11123 
30 673 46439 836 876 6866 
17 7 47596 3091 1363 29185 
25 410 50757 2350 1422 18463 
34 882 53274 1008 965 10517 
40 1137 60264 1057 1412 13824 
37 998 62532 1705 680 17608 
42 1275 63972 1444 1146 13214 
38 1083 64336 2529 913 18809 
31 740 64549 2966 871 23708 
36 987 66323 1821 727 21458 
45 1349 66398 350 806 3865 
44 1339 68239 817 1361 7974 
41 1201 69222 2492 1076 21625 
52 1732 70182 57 902 959 
50 1670 71258 540 974 4859 
33 866 73368 2983 1140 31382 
43 1298 75322 1603 1362 22047 
55 1886 75841 190 838 2472 
39 1085 76319 3828 1226 30375 
46 1430 76557 1275 1257 12584 
59 2123 81024 599 905 4466 
48 1523 81724 2127 1300 17174 
60 2149 82609 212 1372 1584 
51 1719 85986 2082 1098 17746 
49 1573 86535 2084 907 20211 
62 2282 88178 576 981 5568 
47 1520 89615 2518 1370 25278 
54 1807 91165 2214 739 19906 
53 1773 92662 1906 1292 22479 
61 2213 93401 1450 1070 11676 
64 2338 93700 824 1107 7164 
58 2071 96141 2301 926 19821 
56 1977 96577 2125 1235 21254 
69 2600 97939 330 1213 4537 
70 2634 100553 567 1035 6852 
57 2027 104780 2934 1145 28938 
67 2483 105034 1919 1005 13868 
63 2332 109933 2733 1143 23946 
66 2451 110137 2338 1048 20521 
65 2360 110972 2697 977 22793 
74 2868 113969 1434 1249 13415 
71 2728 114326 2159 1177 18184 
72 2784 114603 1771 1058 18025 
73 2790 118598 2124 1028 20658 
68 2502 120803 2653 1384 28140 
75 2953 121821 1808 923 17040 
81 3223 122078 622 1157 7751 
80 3135 128991 1665 1188 15021 
85 3410 129994 903 1181 8172 
82 3232 130839 1979 1131 16235 
77 3011 131055 2224 1140 21121 
76 3002 131943 3298 775 26908 
78 3110 132897 2402 977 22759 
79 3132 133807 1874 1201 22834 
84 3342 141035 2232 1275 20231 
88 3500 141794 1145 1350 11799 
86 3475 141923 1764 1265 19844 
93 3656 143567 1257 1186 9759 
91 3584 144411 1243 1353 12467 
95 3772 146569 355 1153 4774 
87 3486 146723 1859 1003 17731 
92 3587 147822 1618 1241 14924 
83 3244 149025 3570 1180 30426 
97 3805 150011 949 1186 6443 
89 3512 150095 1905 1530 19255 
90 3536 152740 2159 1398 21684 
102 4047 154227 425 1553 5201 
94 3744 155575 1532 888 14539 
98 3807 156866 1468 908 12454 
105 4225 157165 617 1237 4424 
107 4299 158502 377 1308 2926 
101 3979 158933 1484 1065 11110 
96 3777 160699 1945 1218 18775 
100 3918 162572 1716 1324 15848 
104 4165 164749 1566 1334 14653 
103 4092 168510 1928 1376 18498 
109 4411 172495 1877 701 15329 
99 3871 172686 2758 1300 26116 
113 4611 172852 1124 1407 10279 
110 4469 174275 1556 892 15772 
115 4646 175449 658 1113 6938 
106 4233 175977 2355 659 21749 
111 4490 177014 2343 1116 18080 
117 4757 177223 398 1006 4536 
108 4380 178707 1995 503 21840 
112 4535 178727 2028 971 18027 
124 5240 180330 138 1484 1622 
120 4953 182249 581 1024 6799 
126 5384 184301 440 1428 3970 
118 4832 185289 1069 869 12436 
122 5100 185980 1010 1050 8965 
129 5483 186222 48 884 932 
131 5564 187227 37 967 1004 
127 5412 188834 816 1267 6584 
121 5020 189324 1557 1037 13346 
134 5741 194202 880 1060 4877 
114 4642 195108 2249 1333 30358 
123 5175 195853 1910 1221 18629 
116 4722 198150 2842 952 25654 
130 5533 200664 1521 888 14683 
137 5896 200974 748 1235 5120 
119 4931 205300 3418 971 31024 
140 6008 209726 546 1139 8751 
125 5308 210184 3256 1603 31456 
136 5868 212167 1725 1484 17058 
132 5584 215846 3054 914 28618 
128 5448 215989 3858 988 31687 
141 6084 216236 769 1188 10935 
135 5783 216957 2752 1285 22754 
148 6377 219461 253 1069 2503 
133 5648 220203 3659 1182 31368 
144 6232 222897 1022 1413 10729 
147 6301 223791 547 1213 7554 
145 6234 224936 1375 1116 9089 
138 5993 227047 3249 1073 28896 
150 6489 229391 1003 1166 9187 
139 6007 229657 3247 1051 28992 
153 6619 233616 819 1190 8679 
149 6443 235607 1449 1033 16145 
146 6263 239928 2522 1216 23938 
152 6520 239951 1470 1220 16159 
151 6513 240244 2052 1136 17346 
156 6774 240505 1335 1355 10847 
142 6105 240625 2555 1637 30898 
157 6853 240814 753 929 7197 
162 7063 241787 93 1188 1281 
143 6196 242463 3666 1556 32278 
160 6958 244960 613 902 5008 
159 6955 250316 1021 886 10387 
163 7069 251120 907 1369 10494 
165 7181 252223 1153 973 10435 
155 6728 253101 2319 1228 23709 
161 6999 253322 1363 1105 13077 
154 6670 256685 3426 1365 29637 
166 7206 257901 1461 1053 15437 
171 7450 258054 450 1134 4952 
170 7419 258472 820 1262 6248 
169 7360 260876 774 1127 9755 
164 7155 261034 2466 1225 20219 
158 6879 264582 2839 1396 28974 
173 7585 266167 1141 1443 9481 
167 7266 272239 3599 1241 27278 
172 7497 272621 1977 1015 19298 
174 7681 278835 1873 1219 20933 
183 8115 280139 137 1166 1303 
178 7891 280762 2101 1005 19727 
182 8030 281017 578 854 8395 
168 7299 281822 3135 851 31505 
184 8148 282249 230 738 2109 
177 7837 283088 2187 1036 22211 
175 7726 285001 2690 1290 26946 
185 8172 287203 735 857 6440 
180 7965 287871 2342 1153 21703 
176 7790 288895 3599 1197 30422 
179 7963 291233 3351 1662 26650 
189 8396 292436 1144 890 9347 
190 8491 293056 738 1323 8054 
181 8023 296732 3477 973 24492 
193 8756 298191 1121 1001 9295 
187 8324 298697 1800 1413 16874 
188 8375 299042 1685 1053 16792 
200 9106 300437 154 1240 1394 
186 8269 302054 1926 1367 21036 
198 9015 306162 916 1167 7970 
194 8826 306382 1564 947 15148 
202 9173 307157 564 901 5102 
195 8906 307597 1507 879 15160 
191 8565 307664 2664 1096 20460 
207 9381 308694 122 907 1029 
196 8921 316126 1653 957 23069 
203 9211 316447 1301 1241 10284 
197 8923 317311 2675 1118 20578 
192 8658 317812 2631 771 29940 
204 9229 318212 1184 1149 11829 
201 9148 318857 1886 1393 18419 
212 9651 320613 138 1324 2800 
199 9040 320994 2580 1209 22296 
205 9276 321471 1482 894 14313 
213 9711 322782 434 1199 4569 
211 9557 328191 1098 1402 10879 
209 9507 328398 1520 1331 12271 
206 9324 330334 2440 955 22736 
210 9554 334406 2057 1365 17958 
216 9875 335009 1385 835 14014 
219 9976 338981 818 1148 10789 
208 9470 340393 2783 1059 31698 
222 10100 342265 857 1130 7858 
214 9805 344286 3314 992 25428 
220 10009 346184 1982 1220 17785 
228 10279 347786 191 1410 1601 
218 9966 349638 2927 1040 26855 
224 10142 350169 1002 1617 11187 
217 9944 350647 3148 884 29175 
221 10046 351026 2028 1367 20691 
215 9870 351712 3464 858 31098 
226 10258 353521 1126 1078 11255 
223 10104 357495 2544 1041 22485 
230 10421 359278 1031 1293 9639 
227 10275 360888 1847 1468 16601 
238 10759 363023 198 1074 2134 
234 10597 363203 1065 1557 11490 
231 10489 366547 1959 878 16377 
233 10538 367044 1715 926 16017 
229 10352 367768 2144 1195 19981 
240 10932 369392 626 1271 6188 
225 10166 370087 2913 735 29693 
243 11112 373212 611 1193 5443 
236 10732 374237 1671 857 16741 
232 10503 375756 2910 705 25108 
244 11147 377697 659 1265 8304 
237 10755 381011 2853 1068 21732 
235 10654 382901 3456 928 29379 
246 11249 384627 1533 1103 11414 
249 11338 389562 998 1776 11864 
245 11203 390228 2341 1090 20140 
239 10837 390506 3113 940 27482 
241 10994 391633 2213 784 25085 
255 11702 392860 109 1127 2353 
252 11510 395762 1294 1376 11134 
242 11018 397469 2700 1221 30424 
247 11292 398489 2731 1010 24251 
248 11308 399080 2398 1069 23323 
251 11416 401760 2027 1181 18858 
262 12090 402727 112 854 966 
250 11344 402856 2801 1049 21844 
254 11647 402995 1733 1117 12766 
257 11740 403301 783 1078 10440 
259 11887 405169 545 803 7699 
261 12036 407821 805 1383 8740 
263 12182 408299 619 1022 5571 
253 11549 410631 2119 1131 21068 
256 11739 411602 2147 1009 19968 
258 11829 413233 1866 1214 17470 
265 12290 415420 1639 986 12424 
266 12314 416258 1298 1073 12956 
269 12520 418933 1182 1127 10633 
274 12713 422403 727 1054 6144 
268 12496 422689 1781 1266 14867 
267 12408 423073 2291 1709 17903 
260 11937 424587 2046 1295 26097 
270 12556 425213 1401 1576 14581 
278 12838 426763 528 1099 3689 
271 12620 429893 1848 1321 18290 
264 12205 430927 3044 987 28070 
272 12653 431794 2075 1088 18560 
283 13153 433852 132 1592 2924 
281 12991 435202 1113 1453 8438 
277 12785 437341 1554 970 14651 
284 13165 438339 827 1391 6544 
275 12730 438785 1977 1302 19851 
276 12758 441044 1691 1057 18640 
273 12691 442928 2559 602 27507 
286 13269 446086 1256 1406 10883 
290 13474 449800 1386 1080 8755 
289 13435 451725 1697 1591 12939 
279 12865 453231 2547 948 28643 
280 12920 453942 3547 950 28728 
293 13560 454527 393 1202 4726 
282 13054 455659 2375 1262 25765 
297 13830 455748 9 1211 1220 
294 13651 460612 1087 1022 8886 
285 13256 460927 3083 1350 27074 
298 13835 462493 557 1190 6833 
288 13360 464792 2404 1397 26452 
287 13359 464989 3098 998 27647 
291 13530 468384 2959 1025 25455 
295 13668 470656 2017 1128 17424 
305 14305 470819 149 843 2434 
302 14062 471915 1021 961 9421 
296 13760 474905 2293 719 20962 
300 13957 474934 1645 1282 14321 
292 13537 477452 3692 1585 31365 
309 14567 478161 237 928 3255 
306 14377 479973 1294 1019 9316 
299 13880 481322 2821 1317 25573 
301 13985 485642 2888 1154 24714 
308 14553 485988 1452 1172 14072 
304 14223 487627 2042 1203 22637 
312 14711 487649 1081 1069 9487 
315 14815 488047 310 1164 2404 
303 14133 490720 2301 1388 25927 
313 14751 492901 1057 754 12927 
314 14814 494292 1626 896 12969 
311 14641 494915 1863 895 17462 
307 14471 496411 2621 1096 25591 
310 14590 499217 2612 912 24282 
321 15114 499531 713 649 6629 
320 15082 499911 896 1231 9190 
323 15135 500421 365 797 5505 
318 15003 501275 1384 1075 13625 
329 15438 505338 482 1098 4062 
317 14966 506326 1774 983 18698 
328 15384 509300 1199 872 8878 
