FCFS 
ID Tempo_de_Chegada Tempo_de_finalizacao Tempo_de_Processamento Tempo_de_Espera Tempo_de_Turnaround 
8 0 5649 670 4979 5649 
5 0 7785 776 7009 7785 
3 0 11081 1471 9602 11081 
4 0 11123 1313 9797 11123 
7 0 11547 1093 10454 11547 
2 0 12081 1136 10932 12081 
1 0 14135 1972 12153 14135 
10 0 18262 1414 11193 12613 
14 0 22135 1093 9495 10588 
15 0 22882 1153 9648 10801 
6 0 23614 2955 20655 23614 
0 0 25659 2753 22903 25659 
19 70 25695 200 2613 2813 
18 42 26500 508 3857 4365 
9 0 26704 2675 24025 26704 
21 121 32043 656 5728 6384 
23 290 34552 888 7164 8052 
12 0 35411 3104 21226 24330 
22 203 36901 1305 9901 11206 
28 580 38106 216 989 1205 
16 0 39271 2238 22898 25136 
27 521 40527 565 4551 5116 
11 0 40539 3754 28995 32754 
32 838 41661 71 1051 1122 
24 386 42427 1178 14537 15723 
29 650 42623 139 4372 4517 
13 0 44519 3725 29670 33396 
20 79 44577 2207 18756 20963 
35 903 45174 302 2249 2551 
26 501 45586 1079 9947 11034 
30 673 46078 836 5971 6807 
17 7 47228 3091 25875 28966 
25 410 50367 2350 15969 18324 
34 882 52865 1008 9430 10438 
40 1137 59803 1057 12664 13725 
37 998 62056 1705 15774 17479 
42 1275 63482 1444 11671 13115 
38 1083 63844 2529 16141 18670 
31 740 64056 2966 20563 23529 
36 987 65818 1821 19478 21299 
45 1349 65892 350 3486 3836 
44 1339 67718 817 7098 7915 
41 1201 68694 2492 18974 21466 
52 1732 69644 57 893 950 
50 1670 70712 540 4280 4820 
33 866 72804 2983 28159 31143 
43 1298 74742 1603 20261 21877 
55 1886 75257 190 2263 2453 
39 1085 75732 3828 26316 30146 
46 1430 75968 1275 11211 12486 
59 2123 80395 599 3828 4427 
48 1523 81091 2127 14901 17035 
60 2149 81970 212 1363 1575 
51 1719 85315 2082 15511 17597 
49 1573 85860 2084 17958 20042 
62 2282 87489 576 4938 5519 
47 1520 88913 2518 22542 25069 
54 1807 90449 2214 17508 19737 
53 1773 91934 1906 20362 22290 
61 2213 92668 1450 10127 11577 
64 2338 92965 824 6280 7105 
58 2071 95384 2301 17351 19652 
56 1977 95817 2125 18950 21075 
69 2600 97166 330 4168 4498 
70 2634 99758 567 6226 6793 
57 2027 103956 2934 25755 28699 
67 2483 104208 1919 11840 13759 
63 2332 109062 2733 21014 23747 
66 2451 109265 2338 18007 20352 
65 2360 110093 2697 19907 22604 
74 2868 113064 1434 11872 13306 
71 2728 113419 2159 15876 18035 
72 2784 113693 1771 16098 17876 
73 2790 117655 2124 18365 20489 
68 2502 119845 2653 25255 27911 
75 2953 120857 1808 15090 16901 
81 3223 121111 622 7070 7692 
80 3135 127966 1665 13232 14902 
85 3410 128960 903 7200 8103 
82 3232 129799 1979 14127 16106 
77 3011 130014 2224 18718 20952 
76 3002 130897 3298 23383 26689 
78 3110 131845 2402 20178 22580 
79 3132 132748 1874 20764 22655 
84 3342 139917 2232 17840 20072 
88 3500 140670 1145 10561 11710 
86 3475 140796 1764 17910 19685 
93 3656 142428 1257 8423 9680 
91 3584 143265 1243 11125 12368 
95 3772 145405 355 4380 4735 
87 3486 145558 1859 15733 17592 
92 3587 146650 1618 13178 14805 
83 3244 147842 3570 26614 30187 
97 3805 148822 949 5445 6394 
89 3512 148905 1905 17201 19106 
90 3536 151529 2159 19356 21515 
102 4047 152926 425 4659 5084 
94 3744 154337 1532 12886 14420 
98 3807 155620 1468 10887 12355 
105 4225 155914 617 3768 4385 
107 4299 157234 377 2520 2897 
101 3979 157757 1484 9620 11107 
96 3777 159412 1945 16671 18616 
100 3918 161267 1716 13986 15709 
104 4165 163429 1566 12947 14524 
103 4092 167161 1928 16402 18339 
109 4411 171114 1877 13322 15200 
99 3871 171302 2758 23129 25897 
113 4611 171467 1124 9075 10200 
110 4469 172877 1556 14087 15643 
115 4646 174040 658 6221 6879 
106 4233 174325 2355 19044 21399 
111 4490 175658 2343 15558 17901 
117 4757 175799 398 4099 4497 
108 4380 177271 1995 19647 21651 
