RR 
ID Tempo_de_Chegada Tempo_de_finalizacao Tempo_de_Processamento Tempo_de_Espera Tempo_de_Turnaround 
8 0 6193 670 5520 6193 
5 0 7159 776 6383 7159 
7 0 10312 1093 9215 10312 
2 0 10587 1136 9451 10587 
4 0 12191 1313 10876 12191 
3 0 13512 1471 12029 13512 
1 0 18042 1972 16060 18042 
10 0 19369 1414 11762 13176 
14 0 22532 1093 9243 10341 
15 0 24397 1153 9732 10885 
9 0 25089 2675 22407 25089 
0 0 25622 2753 22866 25622 
19 70 26400 200 1803 2003 
18 42 27221 508 4181 4689 
6 0 27275 2955 24312 27275 
21 121 31672 656 5390 6050 
23 290 35456 888 7344 8235 
22 203 38444 1305 10739 12044 
24 386 38644 1178 10184 11369 
12 0 39031 3104 25595 28719 
16 0 39257 2238 18972 21215 
28 580 40504 216 1644 1860 
29 650 40541 139 1371 1510 
32 838 41256 71 644 715 
11 0 42068 3754 31145 34909 
27 521 43638 565 4629 5194 
13 0 45285 3725 30967 34698 
26 501 45574 1079 9029 10118 
20 79 45693 2207 18397 20604 
35 903 46396 302 2456 2758 
30 673 47078 836 6985 7821 
17 7 48447 3091 25981 29078 
34 882 51535 1008 8459 9467 
25 410 53358 2350 19334 21686 
40 1137 57252 1057 9104 10174 
37 998 61627 1705 14341 16053 
36 987 62592 1821 15479 17307 
44 1339 64860 817 6791 7608 
42 1275 64921 1444 11936 13386 
45 1349 64931 350 2954 3304 
31 740 67935 2966 24465 27431 
43 1298 68831 1603 13869 15473 
38 1083 68869 2529 20639 23176 
33 866 69300 2983 25045 28044 
52 1732 69377 57 451 508 
41 1201 71586 2492 20641 23139 
50 1670 73011 540 4528 5076 
55 1886 73322 190 1546 1736 
46 1430 74555 1275 10682 11963 
39 1085 81628 3828 31403 35232 
48 1523 84451 2127 17395 19530 
49 1573 84453 2084 17438 19522 
60 2149 86331 212 1668 1880 
59 2123 87148 599 4921 5520 
53 1773 87420 1906 16198 18120 
51 1719 88134 2082 17210 19303 
47 1520 88337 2518 20955 23477 
54 1807 89919 2214 18309 20542 
62 2282 91700 576 4793 5369 
56 1977 92797 2125 17622 19786 
64 2338 95067 824 6810 7647 
58 2071 95729 2301 18856 21174 
69 2600 95949 330 2822 3152 
61 2213 97756 1450 11849 13303 
70 2634 100363 567 4729 5296 
57 2027 100791 2934 24505 27469 
67 2483 107283 1919 15445 17364 
66 2451 109935 2338 19257 21598 
72 2784 112505 1771 14785 16556 
63 2332 112506 2733 22620 25358 
65 2360 113026 2697 22188 24892 
74 2868 113665 1434 11868 13302 
71 2728 115476 2159 17579 19747 
68 2502 116583 2653 22227 24883 
75 2953 117528 1808 14929 16737 
73 2790 117550 2124 17670 19794 
81 3223 119532 622 5245 5867 
85 3410 126086 903 7633 8536 
80 3135 128502 1665 13806 15476 
79 3132 130401 1874 16013 17895 
77 3011 130767 2224 18587 20832 
82 3232 133731 1979 16276 18255 
78 3110 134843 2402 19928 22338 
86 3475 136191 1764 14893 16659 
76 3002 137830 3298 27227 30547 
84 3342 138381 2232 18621 20853 
88 3500 139139 1145 9488 10637 
95 3772 141874 355 3138 3493 
87 3486 143300 1859 15355 17214 
91 3584 145290 1243 10316 11559 
93 3656 147788 1257 10340 11597 
89 3512 148331 1905 16010 17930 
83 3244 149560 3570 29402 32977 
92 3587 149973 1618 13511 15130 
97 3805 150643 949 7820 8769 
90 3536 150940 2159 18007 20173 
94 3744 152281 1532 12905 14451 
102 4047 153519 425 3534 3959 
105 4225 156532 617 4975 5592 
98 3807 156807 1468 12039 13507 
107 4299 156982 377 3080 3463 
96 3777 157240 1945 16152 18101 
101 3979 161781 1484 11962 13450 
100 3918 163728 1716 14224 15940 
104 4165 165141 1566 12932 14498 
103 4092 167879 1928 15976 17906 
99 3871 170830 2758 22757 25540 
110 4469 171364 1556 12825 14382 
109 4411 173910 1877 15219 17103 
115 4646 173957 658 5420 6078 
106 4233 173986 2355 19335 21705 
113 4611 174007 1124 9147 10279 
117 4757 175184 398 3422 3820 
108 4380 175212 1995 16685 18680 
111 4490 178805 2343 19222 21565 
120 4953 179425 581 4858 5439 
124 5240 180064 138 1121 1259 
112 4535 180712 2028 16899 18931 
126 5384 183998 440 3494 3934 
118 4832 184017 1069 9019 10107 
129 5483 184558 48 493 541 
122 5100 184588 1010 8394 9404 
131 5564 184908 37 283 320 
114 4642 186715 2249 19323 21574 
127 5412 188174 816 6646 7462 
121 5020 188338 1557 12774 14331 
123 5175 193127 1910 16005 17915 
134 5741 196300 880 7246 8126 
116 4722 197381 2842 23693 26551 
130 5533 198787 1521 12704 14229 
137 5896 203090 748 6042 6790 
119 4931 205729 3418 28337 31772 
140 6008 208353 546 4708 5263 
136 5868 209280 1725 14398 16153 
125 5308 209735 3256 27046 30310 
141 6084 213058 769 6560 7329 
132 5584 213428 3054 25466 28520 
135 5783 213778 2752 22683 25440 
147 6301 219079 547 4754 5301 
144 6232 219337 1022 8580 9602 
128 5448 219693 3858 31835 35695 
133 5648 220739 3659 30365 34024 
148 6377 221545 253 2213 2466 
145 6234 225679 1375 11246 12621 
