SJF 
ID Tempo_de_Chegada Tempo_de_finalizacao Tempo_de_Processamento Tempo_de_Espera Tempo_de_Turnaround 
5 0 3170 776 2394 3170 
8 0 6772 670 6102 6772 
1 0 9118 1972 7136 9118 
4 0 11450 1313 10132 11450 
9 0 12371 2675 9692 12371 
7 0 15643 1093 14550 15643 
2 0 16182 1136 15034 16182 
14 0 19009 1093 5545 6638 
16 0 20823 2238 2403 4641 
18 42 21675 508 344 852 
19 70 22063 200 188 388 
0 0 25203 2753 22447 25203 
20 79 26392 2207 2122 4329 
21 121 26421 656 562 1218 
23 290 28075 888 766 1654 
22 203 28635 1305 938 2243 
24 386 30774 1178 1520 2699 
15 0 32467 1153 15671 16824 
26 501 33176 1079 1315 2402 
6 0 33509 2955 30550 33509 
28 580 33806 216 414 630 
27 521 33998 565 966 1531 
29 650 34083 139 431 574 
32 838 34154 71 0 71 
30 673 36261 836 1619 2455 
34 882 39260 1008 1991 2999 
35 903 39770 302 208 510 
33 866 40453 2983 3316 6299 
36 987 43113 1821 1522 3343 
37 998 43677 1705 1519 3224 
3 0 47835 1471 46356 47835 
39 1085 51834 3828 4327 8157 
40 1137 52143 1057 3247 4308 
11 0 54491 3754 43965 47719 
42 1275 54523 1444 936 2380 
44 1339 56279 817 939 1756 
45 1349 56978 350 349 699 
43 1298 59541 1603 3434 5050 
46 1430 59843 1275 1590 2865 
17 7 63507 3091 41407 44498 
48 1523 65043 2127 3066 5200 
50 1670 66047 540 464 1004 
47 1520 69755 2518 7680 10214 
52 1732 69825 57 13 70 
51 1719 70282 2082 2149 4235 
49 1573 71361 2084 5770 7854 
55 1886 71825 190 274 464 
54 1807 74658 2214 2147 4376 
56 1977 75867 2125 1917 4042 
58 2071 80410 2301 2242 4543 
57 2027 80693 2934 3099 6035 
60 2149 80989 212 84 296 
59 2123 81491 599 482 1081 
62 2282 82578 576 511 1087 
61 2213 83952 1450 1513 2963 
64 2338 85465 824 688 1513 
63 2332 89490 2733 4179 6912 
65 2360 90546 2697 2384 5081 
10 0 91773 1414 87183 88603 
66 2451 94707 2338 2872 5217 
67 2483 94910 1919 2445 4364 
69 2600 95306 330 269 599 
70 2634 96208 567 731 1298 
72 2784 99666 1771 1680 3458 
71 2728 101259 2159 3794 5953 
68 2502 102864 2653 8435 11091 
73 2790 103458 2124 1668 3792 
75 2953 106995 1808 2320 4131 
41 1201 108532 2492 54206 56698 
77 3011 112229 2224 3000 5234 
78 3110 113656 2402 2722 5124 
13 0 116048 3725 100872 104598 
80 3135 117860 1665 2535 4204 
79 3132 118195 1874 4075 5966 
81 3223 118748 622 2078 2700 
84 3342 123326 2232 2346 4578 
31 740 124576 2966 87609 90578 
85 3410 125258 903 1029 1932 
25 410 127413 2350 96422 98778 
86 3475 128118 1764 1778 3542 
53 1773 129610 1906 57860 59785 
88 3500 129736 1145 1174 2323 
91 3584 131853 1243 874 2117 
89 3512 132443 1905 2420 4325 
