FCFS 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
200 9 0 0 
400 9 0 0 
600 9 0 0 
800 8 1 0 
1000 9 0 0 
1200 9 0 0 
1400 9 0 0 
1600 9 0 0 
1800 9 0 0 
2000 9 0 0 
2200 9 0 0 
2400 9 0 0 
2600 9 0 0 
2800 9 0 0 
3000 9 0 0 
3200 9 0 0 
3400 9 0 0 
3600 9 0 0 
3800 9 0 0 
4000 9 0 0 
4200 9 0 0 
4400 9 0 0 
4600 9 0 0 
4800 9 0 0 
5000 9 0 0 
5200 9 0 0 
5400 9 0 0 
5600 9 0 0 
5800 9 0 1 
6000 9 0 1 
6200 9 0 1 
6400 9 0 1 
6600 9 0 1 
6800 9 0 1 
7000 9 0 1 
7200 9 0 1 
7400 9 0 1 
7600 9 0 1 
7800 9 0 2 
8000 9 0 2 
8200 9 0 2 
8400 9 0 2 
8600 9 0 2 
8800 9 0 2 
9000 9 0 2 
9200 9 0 2 
9400 9 0 2 
9600 9 0 2 
9800 9 0 2 
10000 9 0 2 
10200 9 0 2 
10400 9 0 2 
10600 9 0 2 
10800 9 0 2 
11000 9 0 2 
11200 9 0 4 
11400 9 0 4 
11600 9 0 5 
11800 9 0 5 
12000 9 0 5 
12200 8 1 6 
12400 8 1 6 
12600 9 0 6 
12800 8 1 6 
13000 9 0 6 
13200 9 0 6 
13400 9 0 6 
13600 9 0 6 
13800 9 0 6 
14000 9 0 6 
14200 9 0 7 
14400 9 0 7 
14600 9 0 7 
14800 9 0 7 
15000 9 0 7 
15200 9 0 7 
15400 9 0 7 
15600 9 0 7 
15800 9 0 7 
16000 9 0 7 
16200 9 0 7 
16400 9 0 7 
16600 9 0 7 
16800 9 0 7 
17000 9 0 7 
17200 9 0 7 
17400 9 0 7 
17600 9 0 7 
17800 9 0 7 
18000 9 0 7 
18200 9 0 7 
18400 9 0 8 
18600 9 0 8 
18800 8 1 8 
19000 9 0 8 
19200 9 0 8 
19400 9 0 8 
19600 9 0 8 
19800 9 0 8 
20000 9 0 8 
20200 9 0 8 
20400 9 0 8 
20600 9 0 8 
20800 9 0 8 
21000 9 0 8 
21200 9 0 8 
21400 9 0 8 
21600 9 0 8 
21800 9 0 8 
22000 9 0 8 
22200 9 0 9 
22400 9 0 9 
22600 9 0 9 
22800 9 0 9 
23000 9 0 10 
23200 9 0 10 
23400 9 0 10 
23600 9 0 10 
23800 8 1 11 
24000 9 0 11 
24200 9 0 11 
24400 9 0 11 
24600 9 0 11 
24800 9 0 11 
25000 9 0 11 
25200 9 0 11 
25400 9 0 11 
25600 9 0 11 
25800 9 0 13 
26000 9 0 13 
26200 8 1 13 
26400 9 0 13 
26600 9 0 14 
26800 9 0 15 
27000 9 0 15 
27200 9 0 15 
27400 9 0 15 
27600 9 0 15 
27800 9 0 15 
28000 9 0 15 
28200 9 0 15 
28400 9 0 15 
28600 9 0 15 
28800 9 0 15 
29000 9 0 15 
29200 9 0 15 
29400 9 0 15 
29600 9 0 15 
29800 9 0 15 
30000 9 0 15 
30200 9 0 15 
30400 9 0 15 
30600 9 0 15 
30800 9 0 15 
31000 9 0 15 
31200 9 0 15 
31400 9 0 15 
31600 9 0 15 
31800 9 0 15 
32000 9 0 15 
32200 9 0 16 
32400 9 0 16 
32600 9 0 16 
32800 9 0 16 
33000 9 0 16 
33200 8 1 16 
33400 9 0 16 
33600 9 0 16 
33800 9 0 16 
34000 9 0 16 
34200 9 0 16 
34400 9 0 16 
34600 9 0 17 
34800 9 0 17 
35000 8 1 17 
35200 9 0 17 
35400 9 0 17 
35600 9 0 18 
35800 9 0 18 
36000 9 0 18 
36200 9 0 18 
36400 9 0 18 
36600 9 0 18 
36800 9 0 18 
37000 9 0 19 
37200 9 0 19 
37400 7 2 19 
37600 9 0 19 
37800 9 0 19 
38000 9 0 19 
38200 9 0 20 
38400 9 0 20 
38600 9 0 20 
38800 9 0 20 
39000 9 0 20 
39200 9 0 20 
39400 9 0 21 
39600 9 0 21 
39800 9 0 21 
40000 9 0 21 
40200 9 0 21 
40400 9 0 21 
40600 9 0 23 
40800 9 0 23 
41000 9 0 23 
41200 8 1 23 
41400 8 1 23 
41600 9 0 23 
41800 9 0 24 
42000 9 0 24 
42200 9 0 24 
42400 9 0 24 
42600 9 0 25 
42800 8 1 26 
43000 9 0 26 
43200 9 0 26 
43400 9 0 26 
43600 9 0 26 
43800 9 0 26 
44000 9 0 26 
44200 9 0 26 
44400 9 0 26 
44600 9 0 28 
44800 9 0 28 
45000 9 0 28 
45200 9 0 29 
45400 9 0 29 
45600 9 0 30 
45800 9 0 30 
46000 9 0 30 
46200 9 0 31 
46400 9 0 31 
46600 9 0 31 
46800 9 0 31 
47000 8 1 31 
47200 9 0 31 
47400 9 0 32 
47600 9 0 32 
47800 9 0 32 
48000 9 0 32 
48200 9 0 32 
48400 9 0 32 
48600 9 0 32 
48800 9 0 32 
49000 9 0 32 
49200 9 0 32 
49400 9 0 32 
49600 9 0 32 
49800 9 0 32 
50000 9 0 32 
50200 9 0 32 
50400 9 0 33 
50600 9 0 33 
50800 9 0 33 
51000 9 0 33 
51200 8 1 33 
51400 9 0 33 
51600 9 0 33 
51800 9 0 33 
52000 9 0 33 
52200 9 0 33 
52400 8 1 33 
52600 9 0 33 
52800 9 0 33 
53000 9 0 34 
53200 9 0 34 
53400 9 0 34 
53600 9 0 34 
53800 9 0 34 
54000 9 0 34 
54200 9 0 34 
54400 9 0 34 
54600 9 0 34 
54800 9 0 34 
55000 9 1 34 
55200 9 0 34 
55400 9 0 34 
55600 9 0 34 
55800 9 0 34 
56000 9 0 34 
56200 9 0 34 
56400 9 0 34 
56600 9 0 34 
56800 9 0 34 
57000 9 0 34 
57200 9 0 34 
57400 9 0 34 
57600 9 0 34 
57800 9 0 34 
58000 9 0 34 
58200 9 0 34 
58400 9 0 34 
58600 9 0 34 
58800 9 0 34 
59000 8 1 34 
59200 9 0 34 
59400 9 0 34 
