RR 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
200 8 1 0 
400 10 0 0 
600 9 0 0 
800 10 0 0 
1000 9 0 0 
1200 9 0 0 
1400 9 0 0 
1600 9 0 0 
1800 9 0 0 
2000 9 0 0 
2200 10 0 0 
2400 9 0 0 
2600 10 0 0 
2800 10 0 0 
3000 9 0 0 
3200 9 0 0 
3400 9 0 0 
3600 9 0 0 
3800 9 0 0 
4000 8 1 0 
4200 9 0 0 
4400 9 0 0 
4600 9 0 0 
4800 9 0 0 
5000 9 0 0 
5200 9 0 0 
5400 9 0 0 
5600 10 0 0 
5800 9 0 0 
6000 9 0 0 
6200 9 0 1 
6400 9 0 1 
6600 8 1 1 
6800 9 0 1 
7000 9 0 1 
7200 9 0 2 
7400 9 0 2 
7600 9 0 2 
7800 9 0 2 
8000 9 0 2 
8200 9 0 2 
8400 8 1 2 
8600 9 0 2 
8800 9 0 2 
9000 10 0 2 
9200 9 0 2 
9400 9 0 2 
9600 9 0 2 
9800 9 0 2 
10000 9 0 2 
10200 8 1 2 
10400 9 0 3 
10600 9 0 4 
10800 9 0 4 
11000 9 0 4 
11200 9 0 4 
11400 9 0 4 
11600 9 0 4 
11800 9 0 4 
12000 9 0 4 
12200 8 1 5 
12400 9 0 5 
12600 9 0 5 
12800 9 0 5 
13000 9 0 5 
13200 9 0 5 
13400 9 0 5 
13600 9 0 6 
13800 9 0 6 
14000 8 1 6 
14200 9 0 6 
14400 9 0 6 
14600 9 0 6 
14800 10 0 6 
15000 9 0 6 
15200 9 0 6 
15400 9 0 6 
15600 9 0 6 
15800 9 0 6 
16000 9 0 6 
16200 9 0 6 
16400 9 0 6 
16600 9 0 6 
16800 9 0 6 
17000 9 0 6 
17200 9 0 6 
17400 9 0 6 
17600 9 0 6 
17800 9 0 6 
18000 9 0 6 
18200 9 0 7 
18400 9 0 7 
18600 9 0 7 
18800 9 0 7 
19000 7 2 7 
19200 9 0 7 
19400 9 0 8 
19600 9 0 8 
19800 9 0 8 
20000 9 0 8 
20200 9 0 8 
20400 9 0 8 
20600 9 0 8 
20800 9 0 8 
21000 9 0 8 
21200 9 0 8 
21400 9 0 8 
21600 9 0 8 
21800 9 0 8 
22000 9 0 8 
22200 9 0 8 
22400 9 0 8 
22600 9 0 9 
22800 9 0 9 
23000 9 0 9 
23200 9 0 9 
23400 9 0 9 
23600 9 0 9 
23800 9 0 9 
24000 9 0 9 
24200 9 0 9 
24400 9 0 10 
24600 9 0 10 
24800 9 0 10 
25000 9 0 10 
25200 9 0 11 
25400 9 0 11 
25600 9 0 11 
25800 9 0 12 
26000 9 0 12 
26200 9 0 12 
26400 9 0 13 
26600 9 0 13 
26800 9 1 13 
27000 7 2 13 
27200 9 0 13 
27400 9 0 15 
27600 9 0 15 
27800 8 1 15 
28000 9 0 15 
28200 9 0 15 
28400 9 0 15 
28600 9 0 15 
28800 8 1 15 
29000 9 0 15 
29200 10 0 15 
29400 9 0 15 
29600 8 1 15 
29800 9 0 15 
30000 9 0 15 
30200 9 0 15 
30400 9 0 15 
30600 9 0 15 
30800 8 1 15 
31000 9 0 15 
31200 9 0 15 
31400 9 0 15 
31600 9 0 15 
31800 9 0 16 
32000 9 0 16 
32200 9 0 16 
32400 10 0 16 
32600 9 0 16 
32800 9 0 16 
33000 9 0 16 
33200 9 0 16 
33400 8 1 16 
