SJF 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
200 8 1 0 
400 8 1 0 
600 9 0 0 
800 9 0 0 
1000 8 1 0 
1200 9 0 0 
1400 9 0 0 
1600 9 0 0 
1800 9 0 0 
2000 9 0 0 
2200 9 0 0 
2400 9 0 0 
2600 9 0 0 
2800 9 0 0 
3000 9 0 0 
3200 9 0 1 
3400 9 0 1 
3600 9 0 1 
3800 9 0 1 
4000 9 0 1 
4200 9 0 1 
4400 9 0 1 
4600 9 0 1 
4800 9 0 1 
5000 9 0 1 
5200 9 0 1 
5400 9 0 1 
5600 9 0 1 
5800 9 0 1 
6000 9 0 1 
6200 9 0 1 
6400 9 0 1 
6600 9 0 1 
6800 8 1 2 
7000 9 0 2 
7200 8 1 2 
7400 9 0 2 
7600 9 0 2 
7800 9 0 2 
8000 9 0 2 
8200 9 0 2 
8400 9 0 2 
8600 9 0 2 
8800 9 0 2 
9000 9 0 2 
9200 9 0 3 
9400 9 0 3 
9600 9 0 3 
9800 9 0 3 
10000 8 1 3 
10200 9 0 3 
10400 9 0 3 
10600 9 0 3 
10800 9 0 3 
11000 9 1 3 
11200 8 1 3 
11400 9 0 3 
11600 9 0 4 
11800 9 0 4 
12000 9 0 4 
12200 9 0 4 
12400 9 0 5 
12600 9 0 5 
12800 9 0 5 
13000 9 0 5 
13200 9 0 5 
13400 9 0 5 
13600 8 1 5 
13800 8 1 5 
14000 9 0 5 
14200 9 0 5 
14400 9 0 5 
14600 9 0 5 
14800 9 0 5 
15000 9 0 5 
15200 8 1 5 
15400 9 0 5 
15600 9 0 5 
15800 9 0 6 
16000 9 0 6 
16200 9 0 7 
16400 9 0 7 
16600 9 0 7 
16800 9 0 7 
17000 9 0 7 
17200 9 0 7 
17400 9 0 7 
17600 9 0 7 
17800 9 0 7 
18000 9 0 7 
18200 9 0 7 
18400 9 0 7 
18600 9 0 7 
18800 9 0 7 
19000 9 0 7 
19200 9 0 8 
19400 9 0 8 
19600 9 0 8 
19800 9 0 8 
20000 9 0 8 
20200 9 0 8 
20400 9 0 8 
20600 9 0 8 
20800 9 0 8 
21000 9 1 9 
21200 9 0 9 
21400 9 0 9 
21600 9 0 9 
21800 9 0 10 
22000 9 0 10 
22200 9 0 11 
22400 9 0 11 
22600 9 0 11 
22800 9 0 11 
